code,name,date,quarter,rank,surprise,company_forecast,rc1,rc2,rc3,narrative,judge,buy_condition,exit_condition,memo,prev_close,next_open,next_close,d5_close,d20_close,gap,ret_d1,ret_d5,ret_d20,shodo,reaction,result,error_type,review_note
6387,サムコ,2026-06-12,本決算,B+,0,維持,growth_slowdown,sector_rotation,,中立,監視,半導体関連動向見て追随検討,セクター悪化あれば見送り,慎重な見通しが必要,12300.0,14790.0,15200.0,14580.0,12980.0,0.2024,0.2358,0.1854,0.0553,GU,GU継続,,,
211A,カドス・コーポレーション,2026-06-12,第３四半期,C+,-1,未開示,growth_slowdown,margin_pressure,,衝突,見送り,改善見られ次第再検討,継続的減速なら撤退強化,前回は減収減益。今回も慎重な見通し,3260.0,3240.0,3350.0,3525.0,3765.0,-0.0061,0.0276,0.0813,0.1549,フラット,フラット,,,
4666,パーク２４,2026-06-15,連2Q,B+,0,未開示,segment_growth,priced_in,,整合,監視,出来高活発化、下値支持確認できれば押し目待ち,発表内容で予想以下に乖離したら見送り,売上おおむね横ばい、営業利益YoY 微増、ガイダンス未提示,1864.5,2074.5,2162.5,2030.0,1986.5,0.1126,0.1598,0.0888,0.0654,GU,GU継続,,,
6594,ニデック,2026-06-15,連2Q?,B,0,未開示,margin_pressure,low_per_value,,中立,監視,PER低水準なら押し目候補,利益率悪化が継続なら見送り,売上高約6568億（前年同期比情報なし）、営業利益未発表、ガイダンス未開示,2728.0,2745.0,2737.0,2759.0,2645.0,0.0062,0.0033,0.0114,-0.0304,フラット,フラット,,,
4088,エア・ウォーター,2026-06-15,連2Q?,B,0,未開示,special_factor,sector_rotation,,中立,監視,需給改善時に注目,資源価格下落が続けば撤退,売上高約3341億、営業利益情報なし、ガイダンス未開示,2552.0,2552.0,2520.0,2495.0,2522.0,0.0,-0.0125,-0.0223,-0.0118,フラット,フラット,,,
8975,いちごオフィスリート投資法人,2026-06-15,—,C+,0,未開示,liquidity_low,special_factor,,中立,見送り,不動産市況好転時のみ検討,長期金利上昇継続なら撤退,売上・営業利益情報非開示、不動産投資法人、ガイダンスなし,93100.0,93200.0,91300.0,91100.0,92400.0,0.0011,-0.0193,-0.0215,-0.0075,フラット,フラット,,,
4592,サンバイオ,2026-06-15,—,C,0,未開示,turnaround,growth_slowdown,,中立,見送り,新規治療の進展確認後に検討,開発遅延あれば撤退,治験進捗待ち、売上営業利益未開示、ガイダンスなし,1210.0,1253.0,1175.0,981.0,1010.0,0.0355,-0.0289,-0.1893,-0.1653,GU,GU失速,,,
3134,Hamee,2026-06-15,連本決算,B,0,未開示,segment_growth,theme_ai,,中立,監視,D2C好調なら押し目待ち,ＥＣ費用増加で利益圧迫なら撤退,業績詳細未開示、Eコマース主体、ガイダンス未開示,398.0,347.0,333.0,264.0,279.0,-0.1281,-0.1633,-0.3367,-0.299,GD,GD継続,,,
3415,トウキョベース,2026-06-15,連1Q,B,0,未開示,priced_in,theme_ai,,整合,監視,AI関連テーマ再燃時に注目,業績振るわず価格反落なら撤退,小売中心、詳細業績未開示、ガイダンスなし,373.0,372.0,336.0,355.0,401.0,-0.0027,-0.0992,-0.0483,0.0751,フラット,フラット,,,
3565,アセンテック,2026-06-15,連1Q,B+,0,未開示,guidance_strong,theme_ai,,整合,監視,クラウド/SaaS需要戻り時注目,契約減少あれば撤退,IT卸、需給回復期待、ガイダンス未開示,405.0,397.0,419.0,377.0,416.0,-0.0198,0.0346,-0.0691,0.0272,GD,GD反発,,,
8972,KDX不動産投資法人,2026-06-17,本決算,B,0,未開示,sector_rotation,priced_in,special_factor,中立,監視,価格と出来高に注目し、増加傾向が確認できれば検討,出来高減少や価格下落トレンドが続く場合,REIT特有、業績でなく資産評価次第。IRで分配金見通し確認要,155400.0,154300.0,152000.0,153200.0,156600.0,-0.0071,-0.0219,-0.0142,0.0077,フラット,フラット,,,
8956,NTT都市開発リート投資法人,2026-06-17,本決算,B+,0,未開示,sector_rotation,special_factor,,中立,監視,価格上昇・出来高増を伴うなら注目,利回り低下や価格反転時,REIT、不動産市況が鍵。分配可能利益等IRチェック,128600.0,129100.0,130000.0,130600.0,135600.0,0.0039,0.0109,0.0156,0.0544,フラット,フラット,,,
3476,投資法人みらい,2026-06-17,本決算,B,0,未開示,sector_rotation,special_factor,,中立,監視,同業REITとの連動して上昇あれば,金利上昇や市況悪化が重なれば撤退,REIT市場動向重視。NAVと分配金動向要確認,42400.0,42300.0,41400.0,42100.0,42450.0,-0.0024,-0.0236,-0.0071,0.0012,フラット,フラット,,,
3451,トーセイリート投資法人,2026-06-17,本決算,B,0,未開示,sector_rotation,special_factor,,中立,監視,割安感出たら短期注目,市況・分配金低下サイン出れば引き揚げ,リート市場の金利影響を注視。不動産市況次第,128200.0,127400.0,128700.0,131000.0,135300.0,-0.0062,0.0039,0.0218,0.0554,フラット,フラット,,,
3544,サツドラHD,2026-06-17,本決算,B+,0,未開示,growth_slowdown,low_per_value,,中立,監視,同業の好調な決算後に反応あれば,業績見通し悪化や売上停滞あれば,小売業、コロナ後の回復に注目。店舗M&Aや地域展開の進捗確認,835.0,835.0,837.0,1222.0,1227.0,0.0,0.0024,0.4635,0.4695,フラット,フラット,,,
6905,コーセル,2026-06-17,本決算,A,0,維持,earnings_momentum,segment_growth,,整合,即買い候補,出来高伴う価格上昇兆しがあれば,業績予想下方修正や利益率低下あれば,電源系。需要回復局面でEBIT改善期待。受注動向要チェック,1522.0,1519.0,1544.0,1487.0,1362.0,-0.002,0.0145,-0.023,-0.1051,フラット,フラット,,,
3333,あさひ,2026-06-22,1Q,B+,0,未開示,segment_growth,low_per_value,,整合,監視,出来高増と日足の反発確認後にエントリー検討,出来高急減や下落トレンド継続で撤退,売上YoY不明、営業利益YoY未開示、ガイダンス未開示,1250.0,1250.0,1275.0,1292.0,1355.0,0.0,0.02,0.0336,0.084,フラット,フラット,,,
8136,サンリオ,2026-06-23,本決算,B+,0,未開示,bad_news_exhausted,narrative_conflict,liquidity_low,中立,監視,決算内容と関連調査結果の透明性確認後なら検討（出来高も注視）,追加不適切発覚やガイダンスでの懸念出たら撤回,常務取締役の不適切報酬問題により決算発表延期。3Q売上＋32％、経常利益＋28％と好調　（120字以内）,938.1,1043.5,932.0,1100.0,1131.5,0.1124,-0.0065,0.1726,0.2062,GU,GU失速,,,
2742,ハローズ,2026-06-24,1Q,B,0,未開示,segment_growth,priced_in,,中立,監視,出来高増加かつ株価調整時を注視,業績鈍化や出来高減少で,売上YoY情報未開示、営業利益情報未開示、ガイダンス未開示,3720.0,3655.0,3615.0,3680.0,3700.0,-0.0175,-0.0282,-0.0108,-0.0054,GD,GD継続,,,
9976,セキチュー,2026-06-24,1Q,C+,0,未開示,growth_slowdown,low_per_value,,整合,見送り,出来高伴う明確な反発兆候ありで,ガイダンスなしで戻り鈍ければ,詳細未開示,1036.0,1088.0,1044.0,1028.0,1066.0,0.0502,0.0077,-0.0077,0.029,GU,GU失速,,,
4716,日本オラクル,2026-06-24,単本決算,A,0,未開示,theme_ai,margin_pressure,,中立,監視,AI関連動向と利益率改善兆しで,ガイダンス未開示で進展見られなければ,詳細未開示,8263.0,8325.0,8223.0,8413.0,8246.0,0.0075,-0.0048,0.0182,-0.0021,フラット,フラット,,,
2354,YE DIGIT,2026-06-24,連1Q,B+,0,未開示,growth_slowdown,theme_ai,,中立,監視,AI関連受注増兆しで,受注停滞で,詳細未開示,903.0,918.0,907.0,774.0,1440.0,0.0166,0.0044,-0.1429,0.5947,GU,GU失速,,,
8276,平和堂,2026-06-25,1Q,C+,‑1,維持,margin_pressure,growth_slowdown,,整合,見送り,進捗率悪く、需給悪化察知でき次第（約60字）,下期見通し未達気配あれば撤退（約60字）,売上高YoY＋3.4％、経常利益YoY‑16.8％、進捗率38.5％と低迷／ガイダンス維持（約120字）,2561.0,2424.0,2455.0,2526.0,2586.0,-0.0535,-0.0414,-0.0137,0.0098,GD,GD反発,,,
2778,パレモ・ホールディングス,2026-06-26,1Q,C,-2,未開示,growth_slowdown,margin_pressure,,衝突,見送り,直近安値近辺かつ出来高急増時のみ検討（～60字）,更なる減益進行なら撤退（～60字）,売上高△11.0％、営業損失△14百万円（前年同期営業利益78）、ガイダンス未開示（120字）,127.0,113.0,111.0,111.0,109.0,-0.1102,-0.126,-0.126,-0.1417,GD,GD継続,,,
3050,ＤＣＭホールディングス,2026-06-26,1Q,B,0,未開示,segment_growth,low_per_value,,整合,監視,出来高増加伴う跳ね上げなら検討（～60字）,反発乏しければ見送り（～60字）,売上高未開示、営業未開示、ガイダンス未開示（120字）,1508.0,1548.0,1575.0,1487.0,1538.0,0.0265,0.0444,-0.0139,0.0199,GU,GU継続,,,
7545,西松屋チェーン,2026-06-26,1Q,B+,0,維持,segment_growth,turnaround,,整合,押し目待ち,押し目で自社PB伸長確認時（～60字）,営業減益再発なら撤退（～60字）,"売上高＋〇％（公表2, ,営業利益未開示）、ガイダンス維持（120字）",1891.0,1899.0,1936.0,2036.0,1986.0,0.0042,0.0238,0.0767,0.0502,フラット,フラット,,,
7630,壱番屋,2026-06-26,1Q,B,0,維持,growth_slowdown,margin_pressure,,整合,監視,物流費軽減や客単価上昇見えれば検討（～60字）,利益率さらに低下なら見送り（～60字）,売上高＋7.4％、営業利益△4.3％、経常利益△4.0％、純利益△19.2％、ガイダンス増収増益見込（120字）,870.0,857.0,883.0,902.0,928.0,-0.0149,0.0149,0.0368,0.0667,GD,GD反発,,,
8217,オークワ,2026-06-26,1Q,C+,-1,未開示,growth_slowdown,liquidity_low,,中立,見送り,売上回復兆しあれば再評価（～60字）,低迷継続なら撤退（～60字）,売上未開示、営業未開示、ガイダンス未開示（120字）,770.0,760.0,771.0,780.0,813.0,-0.013,0.0013,0.013,0.0558,GD,GD反発,,,
7624,ＮａＩＴＯ,2026-06-26,1Q,C,-2,未開示,growth_slowdown,liquidity_low,,中立,見送り,目立った改善材料出れば再検討（～60字）,低調変わらずなら撤退（～60字）,売上未開示、営業未開示、ガイダンス未開示（120字）,138.0,148.0,145.0,142.0,141.0,0.0725,0.0507,0.029,0.0217,GU,GU失速,,,
7447,ナガイレーベ,2026-06-29,3Q,B,0,未開示,segment_growth,narrative_conflict,,中立,監視,売上および出来高突発的増加時に注目,伸び鈍化や出来高収縮で撤退,売上YoY不明、営業利益YoY不明、ガイダンス未開示,1637.0,1740.0,1749.0,1763.0,1790.0,0.0629,0.0684,0.077,0.0935,GU,GU継続,,,
7965,象印,2026-06-29,2Q,B+,0,未開示,low_per_value,segment_growth,,整合,押し目待ち,価格調整と出来高増加時に押し目として,価格下抜けや出荷減で撤退,売上YoY不明、営業利益YoY不明、ガイダンス未開示,1434.0,1350.0,1334.0,1425.0,1444.0,-0.0586,-0.0697,-0.0063,0.007,GD,GD継続,,,
8227,しまむら,2026-06-29,1Q,A,0,未開示,segment_growth,price­d_in,,中立,即買い候補,好調業績発表直後の反応見て評価,業績ミスや市場反応薄の場合撤退,売上YoY不明、営業利益YoY不明、ガイダンス未開示,3313.0,3453.0,3340.0,3434.0,3438.0,0.0423,0.0081,0.0365,0.0377,GU,GU失速,,,
6594,日本電産,2026-06-30,本決算,B+,0,未開示,segment_growth,priced_in,theme_ai,中立,監視,株価が2700円台まで調整し取引量増加時,不調継続で2600円割れ売却,売上高ほぼ横ばい、営業利益は持ち直し。AI関連需要は引き続き好調。,2645.0,2670.0,2747.0,2656.0,2567.0,0.0095,0.0386,0.0042,-0.0295,フラット,フラット,,,
3086,Ｊ．フロント リテイリング,2026-06-30,1Q,B,+1,維持,segment_growth,low_per_value,,整合,押し目待ち,小売消費回復確認後、出来高500万株超で購入検討,消費鈍化兆し、出来高急減・予想未達時撤退,売上高YoY微増、営業利益改善。セグメントで百貨店回復傾向。,3617.0,3436.0,3342.0,3112.0,3153.0,-0.05,-0.076,-0.1396,-0.1283,GD,GD継続,,,
8233,高島屋,2026-06-30,1Q,C+,-1,下方修正,growth_slowdown,margin_pressure,,中立,見送り,構造改革効果が見え始め、利益改善見込まれる時,引き続き利益圧迫・ガイダンス悪化なら回避,売上高YoY減少、営業利益大幅減。コスト高と集客低迷が響く。,2503.5,2416.5,2445.0,2263.0,2377.5,-0.0348,-0.0234,-0.0961,-0.0503,GD,GD反発,,,
4088,エア・ウォーター,2026-06-30,1Q,B,0,維持,special_factor,turnaround,,整合,監視,特殊要因（補助金等）継続確認、株価反発時,コモディティ価格上昇で利益悪化なら撤退,売上高YoY横ばい、営業利益改善。農業・医療分野の需要底堅い。,2767.0,2799.0,2756.0,2715.0,2610.0,0.0116,-0.004,-0.0188,-0.0567,GU,GU失速,,,
2685,アンドエスティＨＤ,2026-06-30,1Q,B-,0,未開示,low_per_value,sector_rotation,,中立,監視,市況回復で株価2%上昇かつ出来高増,収益鈍化や業績不透明なら見送り,売上高YoY横ばい、営業利益ほぼ横ばい。割安感あり、不動産関連は底堅い。,3465.0,3535.0,3370.0,3605.0,3500.0,0.0202,-0.0274,0.0404,0.0101,GU,GU失速,,,
2935,ピックルスＨＤ,2026-06-30,1Q,B+,+1,維持,segment_growth,low_per_value,,整合,押し目待ち,漬物・食料品需要安定し株価下げ止まり時購入,消費鈍化で再びマイナス乖離なら撤退,売上高YoY微増、営業利益改善。食料・漬物需要堅調。,1108.0,1123.0,1127.0,1152.0,1180.0,0.0135,0.0171,0.0397,0.065,GU,GU継続,,,
192A,インテＧ,2026-06-30,単本決算,C,-2,下方修正,bad_news_exhausted,liquidity_low,,衝突,見送り,業績不安要素払拭し、流動性回復した時,業績下振れ続くなら完全撤退,売上高YoY減少、営業利益大幅減。単独決算で弱含み。,1224.0,1434.0,1366.0,1222.0,1205.0,0.1716,0.116,-0.0016,-0.0155,GU,GU失速,,,
…,…,2026-06-30,…,…,…,…,,,,…,…,…,…,…,,,,,,,,,,,,,,
3035,ケイティケイ,2026-07-01,3Q,B,0,未開示,segment_growth,growth_slowdown,,中立,監視,需給動向注視、出来高急増か価格反応あり次第,業績鈍化やガイダンス弱ければ撤退,売上YoY情報未取得、営業利益YoY未取得、ガイダンス未開示,855.0,840.0,850.0,803.0,816.0,-0.0175,-0.0058,-0.0608,-0.0456,GD,GD反発,,,
5942,日本フイルコン,2026-07-01,2Q,C+,0,未開示,low_per_value,dividend_cut,,中立,見送り,株価低PER水準維持且つ出来高増加あれば検討,配当方針変更や悪材料あれば撤退,売上YoY情報未取得、営業利益YoY未取得、ガイダンス未開示,715.0,665.0,648.0,652.0,628.0,-0.0699,-0.0937,-0.0881,-0.1217,GD,GD継続,,,
3549,クスリのアオキホールディングス,2026-07-02,本決算,B+,+1,上方修正,earnings_momentum,segment_growth,dividend_cut,整合,押し目待ち,商いが盛り上がり、株価が支持線反発後推移,利益率悪化傾向が続いた場合撤退,売上高＋13.0％、経常利益＋0.8％、当期純利益－3.7％。年間配当８円増し、５期連続最高益見込,3690.0,3900.0,3738.0,3866.0,4020.0,0.0569,0.013,0.0477,0.0894,GU,GU失速,,,
9793,ダイセキ,2026-07-02,1Q,B,0,維持,margin_pressure,growth_slowdown,low_per_value,中立,監視,営業利益率20％超維持で出直り兆しあれば検討,利益率悪化や通期予想下振れあれば撤退,売上高約718億、営業利益率20.3％、経常利益率20.7％、高収益安定。ただ成長鈍化にも注意,4030.0,3680.0,3840.0,3880.0,3800.0,-0.0868,-0.0471,-0.0372,-0.0571,GD,GD反発,,,
3612,ワールド,2026-07-03,1Q,A,+1,未開示,growth_slowdown,segment_growth,,整合,押し目待ち,出来高増加かつ価格調整局面を確認した上で,業績鈍化やガイダンス悪化が明確になれば,売上747億(+6.7%)、営業益72.9億(+7.7%)、通期ガイダンス未開示だが好調滑り出し,1598.0,1672.0,1666.0,1590.0,1597.0,0.0463,0.0426,-0.005,-0.0006,GU,GU失速,,,
9369,キユーソー流通システム,2026-07-03,2Q,B+,0,維持,margin_pressure,priced_in,,中立,監視,費用増による減益警戒、下期改善期待が材料に,通期進捗がさらに悪化すれば撤退,"売上1,027億(+3.1%)、経常益24.8億(-5.7%)、通期維持、進捗率56.4％",3210.0,3070.0,3255.0,3255.0,2910.0,-0.0436,0.014,0.014,-0.0935,GD,GD反発,,,
3377,バイク王＆カンパニー,2026-07-03,2Q,B,0,未開示,growth_slowdown,priced_in,,中立,監視,利益改善やリテール回復の兆し確認後,赤字継続やガイダンス無い状態続けば,過去1Qは営業損失増（▲1.61億円）、通期予想7.1億円利益,373.0,373.0,371.0,367.0,370.0,0.0,-0.0054,-0.0161,-0.008,フラット,フラット,,,
1997,暁飯島工業,2026-07-03,3Q,B+,+1,未開示,segment_growth,turnaround,,整合,押し目待ち,増益傾向継続確認後に打診,3Q利益鈍化や悪材料出れば,3Q経常増益見通し＋20.7％（発表前予想）,4170.0,4170.0,4090.0,4055.0,3800.0,0.0,-0.0192,-0.0276,-0.0887,フラット,フラット,,,
4394,エクスモーション,2026-07-03,2Q,B,+1,未開示,segment_growth,theme_ai,,整合,監視,AI関連テーマの追い風と収益確保確認後,テーマ剥落や実績悪化時,2Q経常増益見通し＋6.2％（発表前予想）,450.0,530.0,530.0,546.0,546.0,0.1778,0.1778,0.2133,0.2133,GU,GU継続,,,
9872,北恵,2026-07-03,2Q,C+,0,未開示,priced_in,,,中立,見送り,今のところ材料乏しく,同業他社比で劣る実績確認したら,2Q経常増益見通し＋0.4％（発表前予想）,903.0,904.0,913.0,923.0,945.0,0.0011,0.0111,0.0221,0.0465,フラット,フラット,,,
3815,メディア工房,2026-07-03,3Q,C,-1,未開示,bad_news_exhausted,growth_slowdown,,衝突,見送り,赤字拡大トレンド止まらない限り,改善シグナルなければ見送り継続,3Q経常赤字拡大見通し,444.0,446.0,446.0,445.0,443.0,0.0045,0.0045,0.0023,-0.0023,フラット,フラット,,,
4361,川口化学工業,2026-07-03,2Q,B,0,未開示,priced_in,segment_growth,,中立,監視,業績開示後にトレンド確認次第,業績が予想を下回れば,2Q通期予想非開示（発表前段階）,1513.0,1509.0,1487.0,1514.0,1501.0,-0.0026,-0.0172,0.0007,-0.0079,フラット,フラット,,,
2789,カルラ,2026-07-06,1Q,B,0,未開示,segment_growth,low_per_value,,中立,監視,出来高増＋業績安定を確認後買い検討,業績悪化や出来高減少で撤退,売上YoY不明、営業利益YoY不明、ガイダンス未開示,463.0,467.0,467.0,467.0,477.0,0.0086,0.0086,0.0086,0.0302,フラット,フラット,,,
3186,ネクステージ,2026-07-06,2Q,B+,0,未開示,segment_growth,priced_in,,中立,監視,株価反応鈍ければ押し目検討,業績予想未達やネガティブガイダンスで撤回,売上YoY不明、営業利益YoY不明、ガイダンス未開示,4130.0,3850.0,3805.0,3385.0,3435.0,-0.0678,-0.0787,-0.1804,-0.1683,GD,GD継続,,,
3321,ミタチ産業,2026-07-06,本決算,B,0,未開示,turnaround,low_per_value,,整合,監視,株価落ち着き後安値拾い検討,赤字転落やガイダンス悪化で撤退,売上YoY不明、営業利益YoY不明、ガイダンス未開示,1860.0,1580.0,1580.0,1561.0,1604.0,-0.1505,-0.1505,-0.1608,-0.1376,GD,GD継続,,,
6093,エスクロー・エージェント・ジャパン,2026-07-06,1Q,C+,0,未開示,growth_slowdown,liquidity_low,,中立,見送り,特段無し,特段無し,売上YoY不明、営業利益YoY不明、ガイダンス未開示,164.0,168.0,167.0,162.0,158.0,0.0244,0.0183,-0.0122,-0.0366,GU,GU失速,,,
7679,薬王堂ホールディングス,2026-07-06,1Q,B+,0,未開示,segment_growth,margin_pressure,,中立,監視,粗利益率改善確認後検討,原価上昇で利益圧迫時撤退,売上YoY不明、営業利益YoY不明、ガイダンス未開示,1715.0,1646.0,1636.0,1677.0,1691.0,-0.0402,-0.0461,-0.0222,-0.014,GD,GD継続,,,
8923,トーセイ,2026-07-06,2Q,B,0,未開示,priced_in,sector_rotation,,中立,監視,不動産市況安定後検討,市況悪化で撤退,売上YoY不明、営業利益YoY不明、ガイダンス未開示,1736.0,1775.0,1792.0,1733.0,1736.0,0.0225,0.0323,-0.0017,0.0,GU,GU継続,,,
9558,ジャパニアス,2026-07-06,2Q,C+,0,未開示,growth_slowdown,liquidity_low,,中立,見送り,特段無し,特段無し,売上YoY不明、営業利益YoY不明、ガイダンス未開示,1995.0,1870.0,1864.0,1920.0,1931.0,-0.0627,-0.0657,-0.0376,-0.0321,GD,GD継続,,,
9972,アルテック,2026-07-06,2Q,B,0,未開示,low_per_value,sector_rotation,,中立,監視,需給改善確認で押し目検討,業績鈍化時撤退,売上YoY不明、営業利益YoY不明、ガイダンス未開示,274.0,300.0,290.0,290.0,277.0,0.0949,0.0584,0.0584,0.0109,GU,GU失速,,,
5243,note,2026-07-07,2Q,B+,0,未開示,growth_slowdown,priced_in,,中立,監視,株価や出来高を伴う反応を見て+5%以上の上昇なら注目,材料出尽くしで下落基調になれば撤退,通期予想売上+35.2%、営業益+173%、純益+93%と高成長だが、折込済か要確認,2219.0,2319.0,2289.0,2061.0,2288.0,0.0451,0.0315,-0.0712,0.0311,GU,GU失速,,,
6469,放電精密加工研究所,2026-07-07,本決算,A,+2,上方修正,segment_growth,margin_pressure,low_per_value,整合,押し目待ち,PER改善余地あり、押し目で40倍以下なら注目,来期純利益減予想確定で見送り,通期売上+11%、営業益+62%、経常益+61%、増配・次期減益予想混在,2735.0,3235.0,3235.0,2800.0,2816.0,0.1828,0.1828,0.0238,0.0296,GU,GU継続,,,
9651,日本プロセス,2026-07-07,本決算,C,0,未開示,low_per_value,special_factor,,中立,監視,公開詳細確認後、業績持続性あれば検討,赤字転落等ネガティブ出れば見送り,本決算発表日2026/7/7、詳細未確認,1800.0,1953.0,2014.0,1999.0,2043.0,0.085,0.1189,0.1106,0.135,GU,GU継続,,,
9740,セントラル警備保障,2026-07-07,1Q,B,0,未開示,sector_rotation,priced_in,,中立,監視,期初好調なら業績続くか確認しつつ,1Q後半以降失速なら見送り,1Q決算発表日2026/7/7、詳細未確認,2728.0,2778.0,2857.0,2766.0,2673.0,0.0183,0.0473,0.0139,-0.0202,GU,GU継続,,,
2726,パルグループホールディングス,2026-07-07,1Q,B,0,未開示,theme_ai,priced_in,,中立,監視,AI関連トレンド持続なら反応確認後,ガイダンス弱ければ撤退,1Q決算発表日2026/7/7、詳細未確認,1548.0,1458.0,1470.0,1450.0,1472.0,-0.0581,-0.0504,-0.0633,-0.0491,GD,GD反発,,,
2659,サンエー,2026-07-07,1Q,B,0,未開示,low_per_value,sector_rotation,,中立,監視,小売好転期待で反応あれば注目,消費鈍化兆候見れば見送り,1Q決算発表日2026/7/7、詳細未確認,3380.0,3170.0,3275.0,3200.0,3220.0,-0.0621,-0.0311,-0.0533,-0.0473,GD,GD反発,,,
2734,サーラコーポレーション,2026-07-07,2Q,B-,0,未開示,priced_in,dividend_cut,,中立,監視,2Q結果見て改善あれば検討,ガイダンス縮小なら見送り,2Q決算発表日2026/7/7、詳細未確認,1121.0,1114.0,1156.0,1132.0,1136.0,-0.0062,0.0312,0.0098,0.0134,フラット,フラット,,,
2918,わらべや日洋ホールディングス,2026-07-07,1Q,B-,0,未開示,sector_rotation,priced_in,,中立,監視,食品安定性評価で反応あれば注目,原料高圧迫あれば撤退,1Q決算発表日2026/7/7、詳細未確認,2689.0,2580.0,2638.0,2642.0,2714.0,-0.0405,-0.019,-0.0175,0.0093,GD,GD反発,,,
